"upc","descrip","price","q","sales","volsales","unit","marca","importada","artesanal"
7231163029,"CLAUSTHALER GERMAN N",0.97324127,61533.5381717682,59022.5084648132,21844406.5595703,"Oz","CLAUSTHALER",1,0
7231163050,"MOOSEHEAD LIGHT NR B",0.81200904,47384.2431335449,37074.9886312485,16821406.7480469,"Oz","MOOSEHEAD",1,0
7231163075,"MOOSEHEAD ICE NR",0.8435213,20837.0710062981,16978.6096100807,7397160.39257812,"Oz","MOOSEHEAD",1,0
7231193040,"MOOSEHEAD BEER NR BT",0.76424658,128381.309776306,93946.9363546371,45575365.8398438,"Oz","MOOSEHEAD",1,0
7231195220,"DOS EQUIS AMBER",1.1722528,282.239490509033,328.860001802445,100195.01953125,"Oz","DOS EQUIS",1,0
7248001103,"SCHAEFER BEER CANS",0.37032047,647.784587860107,240.729995727539,229963.53515625,"Oz","SCHAEFER",0,0
7250900006,"STEINLAGERS ALE",1.1743189,407.864367008209,478.819984436035,144791.85546875,"Oz","STEINLAGERS",1,0
7250904006,"STEINLAGERS ALE",1.1653874,149.950134754181,174.749994277954,53232.2998046875,"Oz","STEINLAGERS",1,0
7262010105,"RANIER DRAFT REGULAR",0.3931492,1919.36184883118,744.039999008179,681373.447753906,"Oz","RANIER",0,0
7262010106,"RANIER DRAFT LIGHT C",0.39882609,879.707527160645,345.56000328064,312296.166015625,"Oz","RANIER",0,0
7272001431,"CARLINGS BLK LABEL R",0.42185366,17472.1901307106,7334.66990184784,6202627.58691406,"Oz","CARLING BLACK LABEL",1,0
7272001435,"CARLINGS BLK LABEL R",0.37261227,1295.56916999817,475.029987335205,459927.0703125,"Oz","CARLING BLACK LABEL",1,0
7278300100,"ANCHOR STEAM BEER NR",1.139625,11048.3261141777,12503.3597097397,3922155.85351562,"Oz","ANCHOR",0,1
7278300200,"ANCHOR PORTER",1.2435384,647.784582614899,804.919975280762,229963.53515625,"Oz","ANCHOR",0,1
7278300300,"ANCHOR STEAM ALE NR",1.2066292,1139.62103080749,1351.09994363785,404565.478515625,"Oz","ANCHOR",0,1
7289000007,"HEINEKEN KINGSIZE N.",1.1241575,88109.5028002262,98669.2206132412,31278873.4907227,"Oz","HEINEKEN",1,0
7289000011,"HEINEKEN BEER N.R.BT",1.0573539,1339876.47441482,1358994.08065987,475656151.197266,"Oz","HEINEKEN",1,0
7289000012,"HEINEKEN DARK BEER N",1.0124905,60088.0186219215,59036.3781466484,21331247.1875,"Oz","HEINEKEN",1,0
7289000016,"HEINEKEN NR BTLS.",1.0266199,966818.517647743,921967.408057213,343220576.947266,"Oz","HEINEKEN",1,0
